group_name,public_id,lemma
성장,baf11dc1-924e-4c47-89f3-85009d990ee3,포크
성장,6afe9b39-359a-4fc2-b834-6209b7a8e8f4,폭력
성장,9bdcfbb7-a024-4ed8-83c7-3c78879d9944,표정
성장,5ac5e8a2-84a2-44bc-ab5e-f8505618360e,풍경
성장,abd9ed41-563b-425e-b993-1e07dc089dba,플러스
성장,f46068ef-b9e8-4e13-b096-cdd7cd163596,피부
성장,75513107-cc31-477b-85f3-b447753dad42,피해
성장,3c6f8e69-091a-47ce-bcff-1579b14b3cb8,피해자
성장,08709e6f-6544-4875-b069-dccab9aec4d5,핑크
성장,747d251c-a191-419d-a98c-b03225637533,학교
성장,a7ae5b33-5765-42d6-b332-8e2f5c68377a,학생
성장,11d9b0d0-20a2-453d-8cba-23867740a5d3,학원
성장,56044b34-1b77-4bdc-b7e3-4b03b919c5bf,한동안
성장,23419720-79cb-4e3b-8401-fe88c7ecba2d,한복
성장,ba3f97f9-1a06-493e-bf7e-3ed4ed827345,한식
성장,3de1265f-6651-46d9-9aa9-793b39386fab,한옥
성장,0575b1d1-5043-4c87-9552-493de238fa65,한쪽
성장,a3074aa1-580f-4c1e-8f86-20bb61ce7e59,한참
성장,70a32fe0-4cf2-4331-aca7-23fa8faaf477,한창
성장,fade50be-a4fe-4b4d-a609-8b6567b8cdd6,할머니
성장,583eb25f-61b9-4dc7-8cf1-68febca8d8da,할아버지
성장,9f4089ce-3f91-418c-bed4-2e0c3a87cace,할인
성장,d3cc5c3f-89b9-42db-b790-a1f43a479b9b,합격
성장,e37e3d0f-1537-4ed3-9fdb-645863ea4689,해물
성장,79f347b7-15e3-4d2d-b637-107796fefbbe,해변
성장,c45f6f1e-437f-49b7-9983-3596c4fb1029,해산물
성장,d84747ac-f7ad-4098-9f11-ddc35d8cf694,해안
성장,4082924c-9a4d-41e0-81b9-98d281ecef84,해외
성장,2843ab4a-250b-4023-b10e-178cc9a79ca8,핵심
성장,222466f3-bb9f-4aa4-a8f0-8d8b063deaa2,핸드폰
성장,75ef1f43-9df3-451c-a51e-c5633fdd8acc,햇볕
성장,b8c2bdf0-19de-4ad7-abeb-7de5f4cc67a3,햇빛
성장,9a046bb2-1729-488c-8464-2125398cec28,행사
성장,babc573d-8757-40f8-98c8-09d8282fc45a,행운
성장,25f93d91-77fc-4276-9e40-fb431c0ec3c4,향기
성장,b57dd4d8-558a-4c7f-872a-d8305b630428,향수
성장,7dc85dc2-9c40-42bb-9d0c-93b0f89bd2fd,허가
성장,cb5e5113-d93b-41a0-bf07-5fb677afa81f,현대
성장,733a3202-1dcf-45e4-a496-643b847456fd,현미
성장,f89b4f89-5f62-484c-ba65-7740a2e26a66,현실
성장,e6e653ea-bd83-477a-be53-29a3de67059c,현장
성장,042c185e-308d-4778-bce0-e78c9e6c63d4,현재
성장,f4ba2c26-1c54-4fa9-aed2-778256cbf1e0,형제
성장,1fb7b5fc-42ff-42d3-9f74-03b661c2cfa2,호두
성장,381991a6-71d3-4462-8399-a5701229a6e1,호랑이
성장,d0602cd3-6bbe-48f7-bc99-bdb1aee3ee8c,홍합
성장,d8cd3879-a58f-4a3c-843a-b22e679fed85,화가
성장,497dc85d-ef67-4264-97c3-b92923eeafa1,화분
성장,bea5e419-154c-4ea4-9c8a-62c8ea1cc829,화요일
성장,c5ca6d1d-4bb8-4e66-9abf-0156f735fd3d,화장
성장,e8fe0002-9706-4a85-a483-d08796f5d0f4,화장실
성장,f42668d8-6378-46e0-9976-fcb92512790e,화장품
성장,4f132e31-6bf8-4bdf-87df-f45f02ee16b5,화제
성장,8383c9df-96c4-4e8b-b562-5f928efa9c84,환자
성장,b8c41167-1da7-4f74-a6ca-92521801d6c5,회색
성장,f5d74295-e525-4d61-ac33-879c7f27c0d6,후반
성장,53cf1c83-1aa0-412e-9ca9-9139f8697e02,후배
성장,40ee7ea9-2058-45ef-85f5-5f9eb21a8807,후식
성장,64bdb6be-f50a-411e-9c83-d6120141fe1a,후추
성장,b4d4a9d2-8649-4e02-ad11-632540252db6,훈련
성장,3cf8e605-b9a4-4aea-98cb-29c680cecc4e,휴가
성장,06595115-ebb5-47c0-b817-b74508963a47,휴대폰
성장,3a91f3bf-310d-43d6-afe3-ae369cb41ac9,휴식
성장,a109dd9a-1819-4f1c-b5ec-88cd0aab7b77,휴일
성장,dca934b6-ce18-40a2-8dd1-bd84fafe62e5,희망
성장,298c14b6-fc2b-4eba-9650-461262c0ce67,흰색
성장,8c888266-0f19-49cc-9d2d-3d57d39dda96,교사
성장,3c2d262e-df0e-4e7c-8898-b777f771ea18,교체
성장,ebc768d7-9702-4951-9fed-773f421d8932,교회
성장,2ada4577-eb7b-4e57-959b-c39fb7c19abd,구두
성장,e6d76597-fa35-4060-800f-38f83e9b5dd6,구름
성장,365303b8-bc0d-49ac-9a5e-0376044f029b,구분
성장,20967130-a88a-4b7d-ba14-3892636d2962,구성
성장,fb2d5263-b88b-4368-9a7b-af7c652efde8,국가
성장,5bf19363-1353-424d-9944-1518854f4443,국내
성장,75928a0a-2445-45b7-b778-789222679291,국립
성장,af87c963-7c89-4805-be26-28ca1e18f5ce,국물
성장,2ee3eca3-9f43-4d72-9d5a-843a5f4710fa,국민
성장,7ea4cda5-5214-4533-85c0-40f84de3944d,국산
성장,24fcab5f-48a6-4d69-844f-0fd68bc8563e,국수
성장,dc61f2f9-86b0-4230-975a-a06cc0269d12,국어
성장,1f997c4b-37ab-424a-b9ac-a63e01fb3f46,국화
성장,a23b3c19-a271-46bb-a5b0-28b23feb7888,국회
성장,441c9fc4-cf3f-4b98-ace0-f7ce27269fda,군대
성장,249cda79-8caa-44d2-9004-3f26b63f71a0,기타
성장,824e85a3-d2d0-4b47-b3fb-4b71cc7ef00c,난방
성장,a48fa6b7-8e2e-417c-84ad-9811af83fdb7,그날
성장,09b56101-29ab-4733-9160-e5820eb47f1c,그네
성장,94510698-34c1-4a16-8da1-449b918acf2d,그늘
성장,a49b3c29-a0ca-439b-b56d-e95a01ca5083,그때
성장,a76a602c-2855-485d-ba49-eaa6a05eac2c,그릇
성장,5777a224-d262-4c37-9324-e8b764a94078,그만큼
성장,a39c97cf-db0a-4568-a53e-ce087be87eb7,그제
성장,69eb90b3-3ed5-4431-a480-32caf0a703e3,극장
성장,7045ae54-3806-4034-98eb-9898ab330ad8,근본
성장,9fd8b4f5-fb84-48ef-af12-cf53b1c75a8f,근육
성장,2a616b97-64f8-49c8-bb59-dc36c8c3c72f,근처
성장,a2ae02b7-98c7-4d58-afbd-8eb5406d3c33,글거리
성장,fa1baf35-2b33-4f21-a434-53c5b1a52daa,글라스
성장,78960d31-8202-426d-93cf-077e5e3b250f,글자
성장,6eb6d5f3-caea-4cea-a411-10614b4f8c5c,금요일
성장,03c596fe-e320-4a25-ad77-2ef7bfffcb5c,금일
성장,3763bf3d-38c2-452e-ac25-2556618deff1,기관
성장,0d0d12ea-5f6e-4f9a-90d9-3d66c9de163f,기도
성장,0377715e-2b9b-46d8-a538-e28fa065b608,기둥
성장,d91ea5ae-5659-4b98-a586-b0d7933ef6cf,기쁨
성장,4a8536b5-3d6a-4c54-a256-29d510cf557d,기사
성장,25f7335e-3bc8-4697-a5bf-70fa7ffbd4d9,기상
성장,5d2359d6-dbec-460b-b698-1b7bd2158944,기숙사
성장,dd5b6836-7f8b-4965-8581-341cfe6d3441,기여
성장,6a49699e-68b8-4eb8-a1aa-95c5c418411d,기적
성장,17ed7055-2133-43a9-ac02-38599e36abf9,기초
성장,282311be-8d34-46a0-a78e-77062ab46435,긴장
성장,7ac71e4e-bf4c-4d15-b112-ce7a1a7d6fa1,길거리
성장,3bca60da-db89-4064-812a-04a4fab483a1,김치
성장,933e0d31-a5a1-457a-bd4f-abcf67f70ecf,꼬막
성장,09209cf8-698c-44e9-b44a-a4b48aa19f8c,꽃게
성장,bb7be62a-9bc1-4638-933b-98f0f69e45af,나라
성장,61144922-9d52-4a7e-b5c5-28b7150a2cc4,나머지
성장,38126390-62bf-4d17-b832-6e60dd1a5766,나비
성장,ad9df535-b488-49f4-bfb5-99d9d102a8f4,나이
성장,4aed8b26-092f-472c-8635-4fbfc6be0f4a,나중
성장,b0b1a4e5-7009-4bd0-9e3e-d54afd623f32,낙지
성장,41e693cf-e75d-454d-80ca-c18c52d80bb0,낚시
성장,6afc86a8-7558-48f5-b174-1cfa2e0c68c8,난로
성장,51a67717-57ba-422c-b5a2-f9c7eaffaa80,난리
성장,02a1726f-147f-489c-8e45-badd2432ea70,날씨
성장,979d24ed-983f-4ff1-8fdc-43f1cd578619,남동
성장,432109e8-e843-4f57-afad-3d6053c284ff,남미
성장,dfefc5fd-abb4-4e6f-973c-db5d44785412,남부
성장,ff7e6227-6fa4-4b2e-a5f5-8279efad49a8,남성
성장,f41338b2-f646-41f2-a428-331b2cdcd72d,남자
성장,02324ca4-32c7-4f3d-b062-ee21e5b28e9f,남친
성장,f2420454-aebc-489b-8955-0fa2004f9078,남편
성장,a9e9de6e-deec-4b7b-a29b-a769cd635df3,낮잠
성장,7bf37280-ab8e-45f9-b54b-706d7f97b232,내년
